project_id,pipeline_id,pipeline_start,pipeline_finish,pipeline_duration,cicd_server_avg_watts_consumption,monitoring_pc_avg_watts_consumption
8,2707,1716058814,1716059348,534,68.16235083018869,14.843237622641505
8,2708,1716059361,1716059889,528,68.17051507547173,14.670115169811321
8,2709,1716059908,1716060458,550,82.83023130909089,14.431572200000003
8,2710,1716060516,1716061147,631,86.09999467741935,14.42804765079365
8,2711,1716061183,1716061706,523,68.68129479245285,14.493740346153844
8,2712,1716061731,1716062349,618,74.40602059677423,14.60127359677419
8,2713,1716062397,1716062923,526,69.23640819230769,14.801039584905661
8,2714,1716062945,1716063482,537,72.30764426415095,14.641269740740741
8,2715,1716063492,1716064016,524,68.61712058490565,14.35802805769231
8,2716,1716064039,1716064570,531,69.12268326415094,14.381478981132075
8,2717,1716064586,1716065119,533,69.26008715384617,14.313716358490565
8,2718,1716065133,1716065701,568,84.50992946428572,14.487508982456138
8,2719,1716065740,1716066358,618,75.45796132258063,14.448830540983606
8,2720,1716066407,1716066938,531,68.98092409433966,14.555911433962265
8,2721,1716066954,1716067489,535,69.26143549056603,14.531090886792455
8,2722,1716067503,1716068030,527,69.2538113207547,14.477197423076923
8,2723,1716068049,1716068586,537,69.11689924074075,14.461809222222223
8,2724,1716068596,1716069134,538,68.64507550943395,14.599735074074076
8,2725,1716069143,1716069665,522,68.9547554716981,14.539292230769227
8,2726,1716069691,1716070235,544,70.72534481818181,14.376779909090908
8,2727,1716070298,1716070827,529,68.94923203773587,14.333771735849059
8,2728,1716070845,1716071368,523,69.6478184423077,14.304687096153843
8,2729,1716071392,1716071928,536,68.23413268518522,14.386302867924526
8,2730,1716071939,1716072473,534,68.76270241509432,14.445642777777778
8,2731,1716072487,1716073016,529,69.18205971698112,14.449757849056605
8,2732,1716073034,1716073570,536,69.19714476923077,14.436953358490566
8,2733,1716073581,1716074112,531,68.87668573584905,14.570769055555562
8,2734,1716074128,1716074659,531,69.03688722641515,14.351168037735848
8,2735,1716074675,1716075202,527,70.01510394230769,14.468736528301886
8,2736,1716075222,1716075755,533,68.49323281481482,14.460619811320754
8,2737,1716075770,1716076303,533,69.49003090566038,14.362302574074075
8,2738,1716076317,1716076844,527,69.26404883018867,14.45949350943396
8,2739,1716076865,1716077396,531,69.10306098076924,14.344565396226413
8,2740,1716077411,1716077938,527,68.92148079245283,14.41577316981132
8,2741,1716077959,1716078488,529,69.28875488679245,14.402586981132076
8,2742,1716078505,1716079039,534,69.45727243396225,14.522881132075469
8,2743,1716079052,1716079579,527,69.09942037735851,14.537968461538464
8,2744,1716079599,1716080131,532,67.98708361538458,14.456284314814813
8,2745,1716080146,1716080672,526,69.75989723076924,14.501082018867924
8,2746,1716080693,1716081220,527,69.10863488679249,14.50230811538461
8,2747,1716081240,1716081777,537,67.52223388679248,14.343218277777778
8,2748,1716081788,1716082317,529,70.08325315094339,14.377856528301887
8,2749,1716082335,1716082865,530,69.90088281132074,14.265086679245282
8,2750,1716082882,1716083406,524,68.98373364150945,14.433786480769232
8,2751,1716083429,1716083955,526,69.13557066037737,14.438061471698115
8,2752,1716083977,1716084504,527,69.39633260377357,14.50795119230769
8,2753,1716084523,1716085053,530,68.72884258490566,14.345223264150944
8,2754,1716085071,1716085603,532,69.43382790566038,14.312098796296295
8,2755,1716085618,1716086157,539,68.27571484905658,14.451036055555557
8,2756,1716086165,1716086686,521,70.43924138461537,14.526847480769229
